,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
11861,2019-10-01 05:57:14 UTC,remove_from_cart,5760781,1.48758E+18,,runail,2.62,552191285,a095bb37-bdfc-45e5-bd3e-63f3dd844301
11862,2019-10-01 05:57:14 UTC,view,5787706,1.48758E+18,,,5.56,256301592,d1168ccd-2aaa-f5ee-fad5-6327a76f39f1
11863,2019-10-01 05:57:14 UTC,cart,5820752,1.48758E+18,,,7.94,501183760,844d8b4f-a5b6-40d2-99c4-49374704a842
11864,2019-10-01 05:57:14 UTC,remove_from_cart,5857693,1.48758E+18,,,2.38,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11865,2019-10-01 05:57:14 UTC,remove_from_cart,5842118,1.48758E+18,,,1.59,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11866,2019-10-01 05:57:14 UTC,remove_from_cart,5842118,1.48758E+18,,,1.59,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11867,2019-10-01 05:57:15 UTC,cart,5820719,1.48758E+18,,,7.14,536098677,78a464e1-72f8-4d37-89bc-8bbc20e7ae26
11868,2019-10-01 05:57:15 UTC,cart,5820764,1.48758E+18,,,11.11,231105826,a64bb2cf-b346-07e3-32f4-cc5f4d4775b1
11869,2019-10-01 05:57:15 UTC,remove_from_cart,5857693,1.48758E+18,,,2.38,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11870,2019-10-01 05:57:15 UTC,remove_from_cart,5832424,1.48758E+18,,,2.7,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11871,2019-10-01 05:57:15 UTC,remove_from_cart,5832424,1.48758E+18,,,2.7,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11872,2019-10-01 05:57:16 UTC,view,5857069,1.48758E+18,,irisk,0.63,423875527,fb285abc-0cce-45da-91ec-16d01a82d43e
11873,2019-10-01 05:57:16 UTC,cart,5820750,1.48758E+18,,,7.14,501183760,844d8b4f-a5b6-40d2-99c4-49374704a842
11874,2019-10-01 05:57:16 UTC,remove_from_cart,5842114,1.48758E+18,,,0.63,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11875,2019-10-01 05:57:16 UTC,remove_from_cart,5842114,1.48758E+18,,,0.63,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11876,2019-10-01 05:57:18 UTC,view,5847572,1.48758E+18,,italwax,7.14,533436986,5ec291fc-a079-4ff4-8026-6cc2157340fa
11877,2019-10-01 05:57:18 UTC,cart,5875346,2.08414E+18,,,2.05,514734211,6470ff85-64ac-41c9-9317-b738d30c9e82
11878,2019-10-01 05:57:20 UTC,purchase,5787829,1.48758E+18,stationery.cartrige,italwax,3.65,543374649,57c3b498-56ab-43bf-aa1b-b5a94cfcefa6
11879,2019-10-01 05:57:20 UTC,view,5856500,1.48758E+18,,joico,59.24,525434672,b267366d-d6e3-4f00-9a81-a19e12332364
11880,2019-10-01 05:57:20 UTC,purchase,5759491,1.48758E+18,,italwax,1.94,543374649,57c3b498-56ab-43bf-aa1b-b5a94cfcefa6
11881,2019-10-01 05:57:20 UTC,purchase,5708154,1.48758E+18,,igrobeauty,0.3,543374649,57c3b498-56ab-43bf-aa1b-b5a94cfcefa6
11882,2019-10-01 05:57:22 UTC,cart,5884350,1.48758E+18,,oniq,10.32,443623425,0bc61b76-0250-4bcf-a018-0fc347b9dfe7
11883,2019-10-01 05:57:23 UTC,cart,5724611,1.48758E+18,,irisk,1.97,545323910,15e5b93c-2cf6-408b-8741-b4b07bac6466
11884,2019-10-01 05:57:24 UTC,view,5768981,1.48758E+18,,irisk,82.54,526190516,c3f9ce6e-f1e9-404a-8a7e-69dabe221e13
11885,2019-10-01 05:57:24 UTC,remove_from_cart,5787706,1.48758E+18,,,5.56,256301592,d1168ccd-2aaa-f5ee-fad5-6327a76f39f1
11886,2019-10-01 05:57:26 UTC,view,5812620,1.48758E+18,,cnd,10,554067689,751f5f67-6458-45f8-92dd-3c3b8c5e42c5
11887,2019-10-01 05:57:28 UTC,cart,5858353,2.19509E+18,,severina,1.98,553052134,3aa63624-dac0-442c-97b6-fe9b28b9d4a2
11888,2019-10-01 05:57:28 UTC,cart,5884350,1.48758E+18,,oniq,10.32,443623425,0bc61b76-0250-4bcf-a018-0fc347b9dfe7
11889,2019-10-01 05:57:29 UTC,view,5794078,1.48758E+18,,,8.73,429648030,f0d054a9-f402-4d8c-8e6e-a8733695ca1f
11890,2019-10-01 05:57:29 UTC,view,5715617,1.48758E+18,,,72.22,524790722,1ed1d50f-59a3-41fc-8df2-24b6d195aebe
11891,2019-10-01 05:57:31 UTC,cart,5705001,1.48758E+18,,irisk,3.33,553052134,3aa63624-dac0-442c-97b6-fe9b28b9d4a2
11892,2019-10-01 05:57:32 UTC,view,5584844,1.48758E+18,,levissime,4.95,541350268,8b7bfe52-6834-d2cd-ddc9-77405eb81837
11893,2019-10-01 05:57:34 UTC,cart,5773602,1.48758E+18,,irisk,2.54,265366822,827696df-11ca-4f2a-b80e-ddeaa31eb9be
11894,2019-10-01 05:57:35 UTC,view,5813824,1.48758E+18,,,3.79,498249982,fdc257f2-b7ca-4ab2-bffd-272767f4cdba
11895,2019-10-01 05:57:35 UTC,cart,5820745,1.48758E+18,,,2.22,231105826,a64bb2cf-b346-07e3-32f4-cc5f4d4775b1
11896,2019-10-01 05:57:35 UTC,view,5668430,1.48758E+18,,,2.68,256301592,d1168ccd-2aaa-f5ee-fad5-6327a76f39f1
11897,2019-10-01 05:57:36 UTC,view,5688669,1.48758E+18,,,0.63,555504148,3a972a34-ba6a-4bf7-ae0a-acb6d16cd900
11898,2019-10-01 05:57:38 UTC,view,5884342,1.48758E+18,,oniq,5.56,412810729,ddd49587-a0a7-4ec0-a33f-44594792008d
11899,2019-10-01 05:57:39 UTC,view,5875322,1.48758E+18,,,0.92,466012293,4916e61c-6b57-46a5-b743-6c7203b29644
11900,2019-10-01 05:57:40 UTC,cart,5843836,1.48758E+18,,,0.38,555501533,299548bb-1221-4a76-8489-e70c0dfcc51a
11901,2019-10-01 05:57:42 UTC,cart,5772436,1.60294E+18,,grattol,4.76,530584041,fe6531ab-caf9-4fed-b850-dd79f6163284
11902,2019-10-01 05:57:42 UTC,view,5724305,1.48758E+18,,irisk,2.48,551915649,0b9f2e37-4283-46b2-833c-7fd4817af689
11903,2019-10-01 05:57:45 UTC,view,5783323,1.48758E+18,,uskusi,3.97,390883647,c771e595-f9fb-4d5f-977f-d4576aef1f21
11904,2019-10-01 05:57:46 UTC,view,5849765,1.48758E+18,,,7.95,525434672,b267366d-d6e3-4f00-9a81-a19e12332364
11905,2019-10-01 05:57:46 UTC,view,5715618,1.48758E+18,,,79.35,526190516,c3f9ce6e-f1e9-404a-8a7e-69dabe221e13
